"country","constituency","valid_votes","electorate","turnout_registered"
"Scotland","Perth and Kinross-shire",50077,77261,64.815366096737
"Scotland","Rutherglen",42484,72674,58.4583207199274
"Scotland","Stirling and Strathallan",49782,76284,65.2587698599969
"Scotland","West Aberdeenshire and Kincardine",48958,72994,67.0712661314629
"Scotland","West Dunbartonshire",39584,69074,57.3066566291224
"Wales","Aberafan Maesteg",35755,72580,49.2628823367319
"Wales","Alyn and Deeside",43392,75790,57.2529357435018
"Wales","Bangor Aberconwy",41660,70527,59.0695761906787
"Wales","Blaenau Gwent and Rhymney",29922,70153,42.6524881330806
"Wales","Brecon, Radnor and Cwm Tawe",46548,73114,63.6649615668682
"Wales","Bridgend",41374,73168,56.5465777389023
"Wales","Caerfyrddin",45604,74005,61.6228633200459
"Wales","Caerphilly",38234,72648,52.6291157361524
"Wales","Cardiff East",39123,72876,53.6843405236292
"Wales","Cardiff North",47473,71460,66.4329694934229
"Wales","Cardiff South and Penarth",39176,73060,53.6216808102929
"Wales","Cardiff West",44757,75697,59.1265175634437
"Wales","Ceredigion Preseli",46302,75690,61.1732065001982
"Wales","Clwyd East",47822,76637,62.4006680846067
"Wales","Clwyd North",41627,75027,55.4826928972237
"Wales","Dwyfor Meirionnydd",40395,73040,55.3053121577218
"Wales","Gower",47229,76123,62.0430093401469
"Wales","Llanelli",40744,71538,56.9543459420168
"Wales","Merthyr Tydfil and Aberdare",35215,74460,47.2938490464679
"Wales","Mid and South Pembrokeshire",46629,79033,58.9994053117052
"Wales","Monmouthshire",50844,74823,67.9523675875065
"Wales","Montgomeryshire and Glyndŵr",43259,74039,58.4273153338106
"Wales","Neath and Swansea East",40137,76291,52.6103996539566
"Wales","Newport East",38531,76683,50.2471212654695
"Wales","Newport West and Islwyn",41951,75785,55.3552813881375
"Wales","Pontypridd",39378,75951,51.8465852984161
"Wales","Rhondda and Ogmore",35806,74493,48.0662612594472
"Wales","Swansea West",35657,74236,48.0319521525944
"Wales","Torfaen",35705,71738,49.7713903370599
"Wales","Vale of Glamorgan",45826,74465,61.5403209561539
"Wales","Wrexham",40373,70269,57.4549232236121
"Wales","Ynys Môn",32628,53141,61.3989198547261
